Species,B,dB,W,dW,U,dU,lambda,dlambda,f,df,c,dc,N,dN,L,dL,kappa,dkappa,d,dd,visc,dvisc
Tetrahymena pyriformis,72.735,17.035,32.5,12.5,475.6,24.4,16.2,-,20,-,324,-,500,-,10.675,3.675,0.2,-,4.5,1.66,-,-
Tetrahymena thermophila,46.65,0.45,28.55,0.25,204.5,24.2,-,-,15.9,3.7,-,-,-,-,5.3,0.95,-,-,-,-,-,-
Tillina magna,162.5,12.5,82.5,7.5,2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tintinnopsis kofoidi,100,-,29,-,400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tintinnopsis minuta,40,-,26,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tintinnopsis tubulosa,95,-,39,-,160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Tintinnopsis vasculum,82,-,49,-,250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trachelocerca olor,267.5,32.5,37.5,2.5,900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Trachelocerca tenuicollis,432,-,43,-,1111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Urocentrum turbo,90,-,60,-,700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uroleptus piscis,203,-,52,-,487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uroleptus rattulus,400,-,193.56,90.3,385,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uronema filificum,25.7,2.1,14.1,0.8,1372.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uronema marinum,56.9,26.9,28.5,12.5,1010,990,-,-,-,-,-,-,-,-,15.9,-,-,-,6.635,1.335,-,-
Uronema sp.,25,-,11.25,-,1175,25,-,-,-,-,-,-,200,-,5,-,0.6,-,-,-,-,-
Uronemella spp.,28.085,3.085,22,-,250,-,-,-,-,-,-,-,100,-,5.38,-,-,-,-,-,-,-
Uronychia setigera,64,7,31,-,7347,1170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Uronychia transfuga,118,10,63,-,6406,876,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Vorticella microstoma,59,24,36,14,-,-,-,-,7,1,-,-,-,-,-,-,-,-,-,-,-,-
